LOD entries,Base forms,Grammatical category
POLICEBURO1,Policebüro,masculine noun
POLIZIST1,Polizist,masculine noun
POLIZISTIN1,Polizistin,feminine noun
POND1,Pond,neutral noun
PORRETT1,Porrett,feminine noun
PORTO1,Porto,masculine noun
POSTKAART1,Postkaart,feminine noun
PRAKTESCH1,praktesch,adjective
PRAXIS1,Praxis,feminine noun
PREPAREIEREN1,preparéieren,verb
PRESENTEIEREN1,presentéieren,verb
PRIMARSCHOUL1,Primärschoul,feminine noun
PRO1,pro,preposition
PROBLEM1,Problem,masculine noun
PROFF1,Proff,masculine noun
PUER2,puer,indefinite pronoun
PUPPELCHEN1,Puppelchen,masculine noun
QUETSCH1,Quetsch,feminine noun
RAIS1,Räis,masculine noun
RAM1,Ram,masculine/feminine noun
RAPPEN4,rappen,verb
RAYON1,Rayon,masculine noun
RECEPTIONNIST1,Receptionnist,masculine noun
RECEPTIONNISTIN1,Receptionnistin,feminine noun
RECHNUNG1,Rechnung,feminine noun
RECK1,Réck,masculine noun
REENEN1,reenen,verb
REGIOUN1,Regioun,feminine noun
REI1,réi,adjective
REKLAMM1,Reklamm,feminine noun
RELATIV1,relativ,adverb
RELAX1,relax,adjective
RELIEIS1,reliéis,adjective
RENDEZVOUS1,Rendez-vous,masculine noun
RENSEIGNEMENT2,Renseignement,masculine noun
REPAREIEREN1,reparéieren,verb
RESTAURANT1,Restaurant,masculine noun
REZEPT1,Rezept,neutral noun
RICHTEG1,richteg,adjective
RIICHTER1,Riichter,masculine noun
RIICHTERIN1,Riichterin,feminine noun
ROUT1,rout,adjective
RUTT1,Rutt,feminine noun
SAACH1,Saach,feminine noun
SAFTEG1,säfteg,adjective
SAIT1,Säit,feminine noun
SALZ1,Salz,neutral noun
SAMMELEN1,sammelen,verb
SAMSCHDEG1,Samschdeg,masculine noun
SAMSCHDES1,samschdes,adverb
SANGEN1,sangen,verb
SAUER1,sauer,adjective
SAUMON1,Saumon,masculine noun
SCAMPI1,Scampi,masculine noun
SCHAFFEN3,schaffen,verb
SCHAUSPILLER1,Schauspiller,masculine noun
SCHAUSPILLERIN1,Schauspillerin,feminine noun
SCHEIN1,schéin,adjective
SCHI1,Schi,masculine noun
SCHICK1,schick,adjective
SCHIELEN1,schielen,verb
SCHLITT1,Schlitt,masculine noun
SCHLITTSCHONG1,Schlittschong,masculine noun
SCHLITTSCHUNG1,Schlittschung,masculine noun
SCHLOFEN1,schlofen,verb
SCHMAACHEN1,schmaachen,verb
SCHMIER2,Schmier,feminine noun
SCHNAPP1,Schnapp,masculine noun
SCHNAUZ1,Schnauz,masculine noun
SCHNECK1,Schneck,feminine noun
SCHNEIDEN1,schneiden,verb
SCHNEIEN1,schneien,verb
SCHOCKELA2,Schockela,masculine noun
SCHOCKELASMELLECH1,Schockelasmëllech,feminine noun
SCHOCKELASRULL1,Schockelasrull,feminine noun
SCHONN1,schonn,adverb
SCHOUL1,Schoul,feminine noun
SCHREIWEN1,schreiwen,verb
SCHULER1,Schüler,masculine noun
SCHULERIN1,Schülerin,feminine noun
SCHWAARZ1,schwaarz,adjective
SCHWAMM1,Schwämm,feminine noun
SCHWAMMEN1,schwammen,verb
SCHWATZEN1,schwätzen,verb
SCHWESTER1,Schwëster,feminine noun
SEIER2,séier,adverb
SEISS1,séiss,adjective
SEKRETAR1,Sekretär,masculine noun
SEKRETARIN1,Sekretärin,feminine noun
SENGEN2,sengen,verb
SEPTEMBER1,September,masculine noun
SERIO1,seriö,adjective
SERVICE1,Service,masculine noun
SHOPPEN1,shoppen,verb
SICHEN1,sichen,verb
SINN1,sinn,verb
SINN2,sinn,auxiliary verb
SIROP1,Sirop,masculine noun
SOLLEN1,sollen,modal verb
SONNDEG1,Sonndeg,masculine noun
SONNDES1,sonndes,adverb
SONNEG1,sonneg,adjective
SOSS1,soss,adverb
SPADSEIEREN1,spadséieren,verb
SPARGEL1,Spargel,feminine noun
SPEZIALITEIT1,Spezialitéit,feminine noun
SPILLEN1,spillen,verb
SPILLSCHOUL1,Spillschoul,feminine noun
SPORT1,Sport,masculine noun
SPORTLECH1,sportlech,adjective
SPORTLER1,Sportler,masculine noun
SPORTLERIN1,Sportlerin,feminine noun
SPORTSHAL1,Sportshal,feminine noun
SPRANGEN1,sprangen,verb
SPROOCH1,Sprooch,feminine noun
SPROOCHECOURS1,Sproochecours,masculine noun
SPRUDDELWAASSER1,Spruddelwaasser,neutral noun
STAD1,Stad,feminine noun
STAU1,Stau,masculine noun
STAUBSAUGEN1,staubsaugen,verb
STECK1,Stéck,neutral noun
STEEMETZER1,Steemetzer,masculine noun
STEEMETZESCH1,Steemetzesch,feminine noun
STEMMEN1,stëmmen,verb
STIERWEN2,stierwen,verb
STOEN1,stoen,verb
STONN1,Stonn,feminine noun
STOT1,Stot,masculine noun
STREISEL1,Streisel,masculine noun
STROOSS1,Strooss,feminine noun
STUDEIEREN1,studéieren,verb
STUDENT1,Student,masculine noun
STUDENTIN1,Studentin,feminine noun
STUDIO1,Studio,masculine noun
STULL1,Stull,masculine noun
SUDEN1,Süden,masculine noun
SUMMER1,Summer,masculine noun
SUPERMARCHE1,Supermarché,masculine noun
SYMPATHESCH1,sympathesch,adjective
TAART1,Taart,feminine noun
TAASS1,Taass,feminine noun
TANKEN1,tanken,verb
